Country;Foreign_Fighters;;
Albania;90;;
Austria;150;;
Belarus;10;;
Belgium;440;;
Bosnia and Herzegovina;340;;
Bulgaria;7;;
Croatia;0;;
Cyprus;0;;
Czech Republic;0;;
Denmark;150;;
Estonia;3;;
Faroe Islands;0;;
Finland;70;;
France;1550;;
Germany;700;;
Greece;15;;
Hungary;12;;
Ireland;30;;
Italy;80;;
Latvia;0;;
Liechtenstein;0;;
Lithuania;0;;
Luxembourg;1;;
Macedonia, FYR;24;;
Malta;0;;
Moldova;4;;
Netherlands;250;;
Norway;60;;
Poland;40;;
Portugal;12;;
Serbia;70;;
Slovak Republic;6;;
Slovenia;3;;
Spain;100;;
Sweden;180;;
Switzerland;40;;
Ukraine;45;;
United Kingdom;700;;
