Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,7.56336717950757
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,6.55263331602802
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Pakistan,PAK,4.71245780369472
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mexico,MEX,2.46495592537053
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Vietnam,VNM,6.67928878891431
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Peru,PER,3.25120242475616
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,3.08328596730483
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Philippines,PHL,5.9050145623096
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nepal,NPL,2.7252721909615
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,-3.84736249471105
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,7.03608717929632
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ecuador,ECU,0.157743724332676
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,4.84872376071746
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ethiopia,ETH,9.60751800101079
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Paraguay,PRY,2.96223631116965
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nigeria,NGA,2.65269362304348
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Indonesia,IDN,4.79392130382234
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sri Lanka,LKA,4.78598456723587
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,0.84071852799228
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Myanmar,MMR,7.29403184539702
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominican Republic,DOM,7.04093618899402
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,6.91433010805844
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,6.49137058721065
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guatemala,GTM,4.14878447478388
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nicaragua,NIC,4.928954391584
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,2.30556699457074
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kenya,KEN,5.64919707770292
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Honduras,HND,3.64301719086453
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,2.09445798123282
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,1.09999999999999
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ghana,GHA,3.91722164434252
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,El Salvador,SLV,2.45506222153942
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uganda,UGA,5.14383772696638
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tanzania,TZA,6.95937442186003
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Haiti,HTI,1.18546349679343
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Togo,TGO,5.36588758186222
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Senegal,SEN,6.48519475353841
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Dem. Rep.",ZAR,6.91618781045354
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Madagascar,MDG,3.05415601614523
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mongolia,MNG,2.35717118923478
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Niger,NER,3.60530160522534
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Morocco,MAR,4.50848746470318
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,5.77324758060715
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,4.02104940907877
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kyrgyz Republic,KGZ,3.46928102597576
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Egypt, Arab Rep.",EGY,4.2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,2.99999999999983
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Rwanda,RWA,6.90420311499894
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,2.80000000053559
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,3.89999999999992
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,ADO,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,3.00698054504154
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,4.12699833535119
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Arab World,ARB,3.19479966783148
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,2.37229601701262
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,2.24002857543144
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,0.963058398933342
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,-1.66364410731916
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,2.8629558752814
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,0.882405906717082
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,-3.8876985023516
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,1.50022967938888
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,1.04380105507983
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,3.03482672375767
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,-0.254941436423124
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,British Virgin Islands,VGB,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,-0.566814608844453
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,3.61744263250927
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,-3.90491935264366
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,1.45466052089817
